code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
00c4aabde8e0a06475161124d79053a5;electrolysis of magnesium chloride, from titanium sponge production;CN;chlorine, for reuse in titanium tetrachloride production;;market for magnesium chloride, from titanium sponge production;0.29440262101382725;kilogram;magnesium chloride, from titanium sponge production;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
034eede8dac9f840542653e7cf665eb4;wheat production;ZA;wheat grain;;market for magnesium sulfate;2.0091759002770087e-05;kilogram;magnesium sulfate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
037540f0b2dc43bc5b90390cb3ac4ef8;establishing orchard;RoW;establishing orchard;;market for magnesium oxide;0.01434975;kilogram;magnesium oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0387196a56eb12762f38ea31ff35839f;primary zinc production from concentrate;RoW;gypsum, mineral;;market for magnesium;2.451398041045125e-08;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
05a872f7d7e38ddcc3371f3a049ea07c;sulfate pulp production, from eucalyptus, bleached;RoW;electricity, high voltage;;market for magnesium sulfate;0.00014078341344775415;kilogram;magnesium sulfate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
06f3c7e2def04dfca9d60d729f2ec511;hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar;JPN;hydrogen, gaseous, 25 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
06fa6535512bae8751edf30f86e68026;aluminium alloy production, Metallic Matrix Composite;CA-QC;aluminium alloy, metal matrix composite;;market for magnesium;0.0032727124668988548;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
07236f344f9b55d260e7e26e69aebb46;printer production, laser, colour;GLO;printer, laser, colour;;market for magnesium;0.0774;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
07236f344f9b55d260e7e26e69aebb46;printer production, laser, colour;GLO;printer, laser, colour;;market for magnesium-alloy, AZ91, diecast;0.0774;kilogram;magnesium-alloy, AZ91, diecast;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
07b18a6a1be3b161079f053e6a277bfe;sulfate pulp production, from hardwood, bleached;RoW;methanol, from biomass;;market for magnesium sulfate;0.000288952698409644;kilogram;magnesium sulfate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
07bd024cc9734a718131eca11b10c52a;hydrogen production, steam methane reforming of natural gas, 25 bar;World;hydrogen, gaseous, 25 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
07be79e7c5655cfd71215697f60b9423;cobalt production;GLO;cobalt hydroxide;;market for magnesium oxide;0.07840558396429195;kilogram;magnesium oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
082f1769136fdaab9f3927b0f0824655;aluminium alloy production, AlMg3;RER;aluminium alloy, AlMg3;;market for magnesium;0.0305;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
08b8c56eb04d45c984925124059f6787;hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar;IND;hydrogen, gaseous, 26 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
08c3de01f9684c3196bb4e996853af72;hydrogen production, steam methane reforming of natural gas, 25 bar;USA;hydrogen, gaseous, 25 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
08f985840a0cf7f5a228edda4967bb0f;titanium sponge production, from titanium tetrachloride;JP;titanium sponge;;market for magnesium;0.041;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
08f985840a0cf7f5a228edda4967bb0f;titanium sponge production, from titanium tetrachloride;JP;titanium sponge;;market for magnesium, for reuse in titanium sponge production;0.9745;kilogram;magnesium, for reuse in titanium sponge production;0.0;technosphere;JP;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0956012f6b318f74dbfd4b106fec114f;magnesium production, electrolysis;RoW;magnesium;;market for magnesium factory;1.658893258896467e-10;unit;magnesium factory;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0aae8f357661468b8d3e6be7403d0026;hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar;OAS;hydrogen, gaseous, 25 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0b6255367de145d58767daef26484f1e;hydrogen production, steam methane reforming of natural gas, 25 bar;JPN;hydrogen, gaseous, 25 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0e0adfdd1f5847a69281e8ec1bafe6bb;hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar;World;hydrogen, gaseous, 26 bar;;market for magnesium oxide;2.796e-05;kilogram;magnesium oxide;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0ea3d57cce74ff857638aa920d4a2b1f;kraft paper production;RER;bark chips, wet, measured as dry mass;;market for magnesium sulfate;9.072093192177518e-06;kilogram;magnesium sulfate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
0f0ee95df1ccda1cb50cab667d37484e;containerboard production, fluting medium, semichemical;RoW;turpentine;;market for magnesium oxide;0.0033616768391670836;kilogram;magnesium oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
116aaf86420c04e11a8533e16470a2f7;cobalt production;GLO;zinc sulfide;;market for magnesium oxide;0.003074252679745773;kilogram;magnesium oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
13219b5df47924a337ae7c01fde7108f;cobalt production;GLO;electrolyte, copper-rich;;market for magnesium oxide;0.010923407474067675;kilogram;magnesium oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
13b0c001f1488143a21971f7c60a92e2;cobalt production;GLO;cobalt acetate;;market for magnesium oxide;0.022023646077803053;kilogram;magnesium oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
143523bcb6b4a692e5ae961fa7242f31;sugarcane processing, modern annexed plant;BR;ethanol, without water, in 95% solution state, from fermentation;;market for magnesium sulfate;8.608284431451631e-08;kilogram;magnesium sulfate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;magnesium
