code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for cement, Portland;0.9525100000000001;kilogram;cement, Portland;;technosphere;World;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
0038f30a6953ace6e773d680271fa1a3;autoclaved aerated concrete block production;CH;autoclaved aerated concrete block;;market for cement, Portland;0.26;kilogram;cement, Portland;;technosphere;NEU;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
00441e351532792ba3d5b23b8994dc63;treatment of municipal solid waste, incineration;CZ;municipal solid waste;;market for cement, unspecified;0.008896;kilogram;cement, unspecified;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
005b5b011cca375e4cedc5024484e4cc;treatment of waste aluminium, sanitary landfill;RoW;waste aluminium;;market for cement, unspecified;0.00257;kilogram;cement, unspecified;;technosphere;World;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
008a8f53158248768b243f45eb219597;cement production, CP III;NEU;cement, CP III;;market for cement factory;2.73e-11;unit;cement factory;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
015702d2ec08339a6f3268851ee4c3d5;electricity production, nuclear, pressure water reactor;JP;electricity, high voltage;;market for cement, Portland;9.19e-07;kilogram;cement, Portland;;technosphere;JPN;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
015702d2ec08339a6f3268851ee4c3d5;electricity production, nuclear, pressure water reactor;JP;electricity, high voltage;;market for cement, unspecified;3.1e-07;kilogram;cement, unspecified;;technosphere;JPN;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
0180544f80ca89ce5028ef689e8a4eb2;treatment of waste building wood, chrome preserved, municipal incineration with fly ash extraction;CH;waste building wood, chrome preserved;;market for cement, unspecified;0.00070263;kilogram;cement, unspecified;;technosphere;NEU;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
0188fa5146a44feda63c4d7808789b68;cement production, CEM II/B;CAZ;cement, CEM II/B;;market for cement factory;5.36e-11;unit;cement factory;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
01bb2c5323af409996ba6a5b926bd273;cement production, CEM III/A;EUR;cement, CEM III/A;;market for cement factory;5.36e-11;unit;cement factory;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
01db3171b28379d4168e3cb68de4b8e9;treatment of residues, MSWI[F]-WWT, WW from tube collector production, residual material landfill;CH;residues, MSWI[F]-WWT, WW from tube collector production;;market for cement, unspecified;0.4;kilogram;cement, unspecified;;technosphere;NEU;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
01f047d789cb70e0476b00c649b8a2da;electricity production, nuclear, pressure water reactor;IR;electricity, high voltage;;market for cement, Portland;9.19e-07;kilogram;cement, Portland;;technosphere;MEA;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
01f047d789cb70e0476b00c649b8a2da;electricity production, nuclear, pressure water reactor;IR;electricity, high voltage;;market for cement, unspecified;3.1e-07;kilogram;cement, unspecified;;technosphere;MEA;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
01f1fd12acc2e482521eaf49e3da78f3;uranium fuel element production, enriched 4%, for light water reactor;DE;uranium, enriched 4%, in fuel element for light water reactor;;market for cement, unspecified;0.0065;kilogram;cement, unspecified;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
0207d2267772b85a6dfeac229af1bca8;treatment of spent catalytic converter for cars, underground deposit;RoW;spent catalytic converter for cars;;market for cement mortar;0.000515;kilogram;cement mortar;;technosphere;World;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
02468870e1d28d544ba2dfc774a7e0bf;treatment of waste rubber, unspecified, municipal incineration;Europe without Switzerland;waste rubber, unspecified;;market for cement, unspecified;0.01227;kilogram;cement, unspecified;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2030;cement
